Statistic,Flag,AU-ROC,AU-PR,Accuracy
Unique bases,Pass,,,
Sequence Duplications within Labels,Pass,,,
Duplicate Sequences between Labels,Pass,,,
Sequence lengths,Pass,0.5,0.75,0.47000000000000003
Per sequence GC content,Fail,0.8255455115060377,0.8516496927429984,0.7450000000000001
Per sequence nucleotide content,Fail,0.9210194045720362,0.9204354174107638,0.8200000000000001
Per sequence dinucleotide content,Fail,0.9421796916533758,0.9442005926347286,0.835
Per position nucleotide content - A,Pass,0.5250061517429938,0.526793623098863,0.52
Per position nucleotide content - C,Warning,0.6297038809144072,0.6359088597690788,0.5650000000000001
Per position nucleotide content - G,Fail,0.7907828662565505,0.7964595048083573,0.7100000000000001
Per position nucleotide content - N,Pass,0.4686113389534442,0.4751638291147737,0.4699999999999999
Per position nucleotide content - T,Warning,0.6520985038353461,0.6111751744863332,0.61
Per position nucleotide content,Fail,0.7907828662565505,0.7964595048083573,0.7100000000000001
Per reverse position nucleotide content - A,Pass,0.5250061517429938,0.526793623098863,0.52
Per reverse position nucleotide content - C,Warning,0.6297038809144072,0.6359088597690788,0.5650000000000001
Per reverse position nucleotide content - G,Fail,0.7907828662565505,0.7964595048083573,0.7100000000000001
Per reverse position nucleotide content - N,Pass,0.4686113389534442,0.4751638291147737,0.4699999999999999
Per reverse position nucleotide content - T,Warning,0.6520985038353461,0.6111751744863332,0.61
Per reverse position nucleotide content,Fail,0.7907828662565505,0.7964595048083573,0.7100000000000001
