Statistic,Flag,AU-ROC,AU-PR,Accuracy
Unique bases,Pass,,,
Sequence Duplications within Labels,Pass,,,
Duplicate Sequences between Labels,Fail,,,
Sequence lengths,Pass,0.5,0.75,0.36000000000000004
Per sequence GC content,Pass,0.26198358585858583,0.39273802441681693,0.32
Per sequence nucleotide content,Pass,0.34432106782106786,0.4581741985403943,0.34
Per sequence dinucleotide content,Pass,0.4136969696969697,0.48081041418138304,0.36000000000000004
Per position nucleotide content - A,Pass,0.5585905483405483,0.6028431318996335,0.5
Per position nucleotide content - C,Pass,0.46263708513708507,0.5088119350501962,0.45
Per position nucleotide content - G,Pass,0.574234126984127,0.5439488991782594,0.53
Per position nucleotide content - T,Pass,0.49736471861471865,0.5176434394781919,0.5
Per position nucleotide content,Pass,0.574234126984127,0.6028431318996335,0.53
Per reverse position nucleotide content - A,Pass,0.5585905483405483,0.6028431318996335,0.5
Per reverse position nucleotide content - C,Pass,0.46263708513708507,0.5088119350501962,0.45
Per reverse position nucleotide content - G,Pass,0.574234126984127,0.5439488991782594,0.53
Per reverse position nucleotide content - T,Pass,0.49736471861471865,0.5176434394781919,0.5
Per reverse position nucleotide content,Pass,0.574234126984127,0.6028431318996335,0.53
