Check,Flag,AU-ROC,AU-PR,Accuracy
Unique bases,Pass,,,
Sequence Duplications within Labels,Pass,,,
Duplicate Sequences between Labels,Pass,,,
Sequence lengths,Pass,0.5,0.5,0.5
Per sequence GC content,Fail,0.8289,0.7838351381393323,0.765
Per sequence nucleotide content,Fail,0.9216,0.9060503981862209,0.855
Per sequence dinucleotide content,Fail,0.95285,0.9528045024233813,0.88
Per position nucleotide content,Warning,0.68,0.7753125,0.68
Per reverse position nucleotide content,Warning,0.68,0.7753125,0.68
Per sequence nucleotide content - A,Warning,0.66185,0.6240186723132429,0.615
Per sequence nucleotide content - C,Pass,0.53905,0.4961197027696258,0.585
Per sequence nucleotide content - G,Fail,0.9216,0.9060503981862209,0.855
Per sequence nucleotide content - N,Pass,0.5273,0.5205280748043496,0.53
Per sequence nucleotide content - T,Fail,0.8147,0.8334893006122325,0.755
Per sequence dinucleotide content - AA,Warning,0.6681,0.6508246351484873,0.645
Per sequence dinucleotide content - AC,Pass,0.532,0.48987587449560993,0.56
Per sequence dinucleotide content - AG,Warning,0.6456500000000001,0.6581136241706677,0.615
Per sequence dinucleotide content - AN,Pass,0.5050000000000001,0.5442592592592593,0.505
Per sequence dinucleotide content - AT,Fail,0.8360000000000001,0.8172978241661853,0.76
Per sequence dinucleotide content - CA,Fail,0.7232999999999999,0.7287020438263445,0.66
Per sequence dinucleotide content - CC,Pass,0.5931500000000001,0.5499462627557489,0.61
Per sequence dinucleotide content - CG,Fail,0.852,0.8253728847212491,0.79
Per sequence dinucleotide content - CN,Pass,0.5249999999999999,0.6083333333333333,0.525
Per sequence dinucleotide content - CT,Fail,0.7032,0.6879033823427522,0.65
Per sequence dinucleotide content - GA,Fail,0.7614,0.754892466662181,0.7
Per sequence dinucleotide content - GC,Pass,0.56035,0.49001638045203877,0.635
Per sequence dinucleotide content - GG,Fail,0.95285,0.9528045024233813,0.88
Per sequence dinucleotide content - GN,Pass,0.5249999999999999,0.7466844919786096,0.525
Per sequence dinucleotide content - GT,Warning,0.6537999999999999,0.6305828562856216,0.64
Per sequence dinucleotide content - NA,Pass,0.54,0.7413636363636363,0.54
Per sequence dinucleotide content - NC,Pass,0.515,0.5725,0.515
Per sequence dinucleotide content - NG,Pass,0.52,0.5830555555555555,0.52
Per sequence dinucleotide content - NN,Pass,0.5280999999999999,0.5213986951154438,0.53
Per sequence dinucleotide content - NT,Pass,0.52,0.5830555555555555,0.52
Per sequence dinucleotide content - TA,Fail,0.78285,0.7897551679891547,0.705
Per sequence dinucleotide content - TC,Pass,0.56825,0.539124805691525,0.565
Per sequence dinucleotide content - TG,Pass,0.5852999999999999,0.560804379579334,0.565
Per sequence dinucleotide content - TN,Pass,0.525,0.5893478260869566,0.525
Per sequence dinucleotide content - TT,Fail,0.81655,0.8242345767198132,0.745
Per position nucleotide content - A position 1,Pass,0.5249999999999999,0.5856034482758621,0.525
Per position nucleotide content - A position 2,Pass,0.5150000000000001,0.5650000000000001,0.515
Per position nucleotide content - A position 3,Pass,0.535,0.7279790419161677,0.535
Per position nucleotide content - A position 4,Pass,0.54,0.7224999999999999,0.54
Per position nucleotide content - A position 5,Pass,0.56,0.64875,0.56
Per position nucleotide content - A position 6,Pass,0.53,0.6013461538461539,0.53
Per position nucleotide content - A position 7,Pass,0.505,0.5585975609756098,0.505
Per position nucleotide content - A position 8,Pass,0.545,0.7311363636363637,0.545
Per position nucleotide content - A position 9,Pass,0.54,0.715487012987013,0.54
Per position nucleotide content - A position 10,Pass,0.515,0.5861363636363637,0.515
Per position nucleotide content - A position 11,Pass,0.515,0.5689285714285713,0.515
Per position nucleotide content - A position 12,Pass,0.5050000000000001,0.7139792899408285,0.505
Per position nucleotide content - A position 13,Pass,0.505,0.6941339869281046,0.505
Per position nucleotide content - A position 14,Pass,0.5250000000000001,0.5879878048780488,0.525
Per position nucleotide content - A position 15,Pass,0.535,0.6031976744186047,0.535
Per position nucleotide content - A position 16,Pass,0.5249999999999999,0.5853787878787878,0.525
Per position nucleotide content - A position 17,Pass,0.5,0.7075,0.5
Per position nucleotide content - A position 18,Pass,0.53,0.705,0.53
Per position nucleotide content - A position 19,Pass,0.52,0.7064102564102565,0.52
Per position nucleotide content - A position 20,Pass,0.51,0.7031645569620254,0.51
Per position nucleotide content - A position 21,Pass,0.52,0.6895422535211267,0.52
Per position nucleotide content - A position 22,Pass,0.535,0.6093181818181816,0.535
Per position nucleotide content - A position 23,Pass,0.51,0.5771153846153846,0.51
Per position nucleotide content - A position 24,Pass,0.535,0.6093181818181816,0.535
Per position nucleotide content - A position 25,Pass,0.5,0.5475000000000001,0.5
Per position nucleotide content - A position 26,Pass,0.55,0.6243181818181819,0.55
Per position nucleotide content - A position 27,Pass,0.535,0.6121610169491525,0.535
Per position nucleotide content - A position 28,Pass,0.53,0.7097402597402597,0.53
Per position nucleotide content - A position 29,Pass,0.515,0.5732926829268293,0.515
Per position nucleotide content - A position 30,Pass,0.54,0.6134615384615384,0.54
Per position nucleotide content - A position 31,Pass,0.51,0.5858333333333332,0.51
Per position nucleotide content - A position 32,Pass,0.53,0.6027777777777777,0.53
Per position nucleotide content - A position 33,Pass,0.505,0.5722169811320755,0.505
Per position nucleotide content - A position 34,Pass,0.525,0.601186440677966,0.525
Per position nucleotide content - A position 35,Pass,0.505,0.5676020408163265,0.505
Per position nucleotide content - A position 36,Pass,0.535,0.70908940397351,0.535
Per position nucleotide content - A position 37,Pass,0.525,0.5902777777777778,0.525
Per position nucleotide content - A position 38,Pass,0.505,0.5630555555555555,0.505
Per position nucleotide content - A position 39,Pass,0.5,0.5700000000000001,0.5
